selection_rank,source_family_id,annotator_slot,assignment_status
79,doi:10.1002/sctm.19-0147,A,unassigned
79,doi:10.1002/sctm.19-0147,B,unassigned
80,doi:10.1016/j.celrep.2025.116355,A,unassigned
80,doi:10.1016/j.celrep.2025.116355,B,unassigned
81,doi:10.1016/j.mbm.2026.100178,A,unassigned
81,doi:10.1016/j.mbm.2026.100178,B,unassigned
82,doi:10.1038/ncb3592,A,unassigned
82,doi:10.1038/ncb3592,B,unassigned
83,doi:10.1038/ncomms11642,A,unassigned
83,doi:10.1038/ncomms11642,B,unassigned
84,doi:10.1038/s41467-017-00445-3,A,unassigned
84,doi:10.1038/s41467-017-00445-3,B,unassigned
85,doi:10.1038/s41467-017-00884-y,A,unassigned
85,doi:10.1038/s41467-017-00884-y,B,unassigned
86,doi:10.1038/s41467-017-01325-6,A,unassigned
86,doi:10.1038/s41467-017-01325-6,B,unassigned
87,doi:10.1038/s41467-019-10751-7,A,unassigned
87,doi:10.1038/s41467-019-10751-7,B,unassigned
88,doi:10.1038/s41467-021-26296-7,A,unassigned
88,doi:10.1038/s41467-021-26296-7,B,unassigned
89,doi:10.1038/s41467-021-27220-9,A,unassigned
89,doi:10.1038/s41467-021-27220-9,B,unassigned
90,doi:10.1038/s41467-025-57428-y,A,unassigned
90,doi:10.1038/s41467-025-57428-y,B,unassigned
91,doi:10.1038/s41467-025-65905-7,A,unassigned
91,doi:10.1038/s41467-025-65905-7,B,unassigned
92,doi:10.1038/s41467-025-67820-3,A,unassigned
92,doi:10.1038/s41467-025-67820-3,B,unassigned
93,doi:10.1038/s41563-019-0567-1,A,unassigned
93,doi:10.1038/s41563-019-0567-1,B,unassigned
94,doi:10.1038/s41586-026-10398-7,A,unassigned
94,doi:10.1038/s41586-026-10398-7,B,unassigned
95,doi:10.1038/s42003-026-09843-0,A,unassigned
95,doi:10.1038/s42003-026-09843-0,B,unassigned
96,doi:10.1038/srep31547,A,unassigned
96,doi:10.1038/srep31547,B,unassigned
97,doi:10.1083/jcb.201905228,A,unassigned
97,doi:10.1083/jcb.201905228,B,unassigned
