priority_score,manifest_id,provider,accession,access_state,gold_candidate_source_count,source_count,target_modality_hints,download_policy,raw_download_status
161,dataset:c4f88280e44acb2f,GEO,GSE99791,public_metadata_unresolved,1,1,flow_cytometry;immunofluorescence;omics;pcr;traction_force_microscopy;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:35faef99ae80c263,PRIDE,PXD052588,public_metadata_resolved,1,1,afm;flow_cytometry;immunofluorescence;pcr;proteomics;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:840c703f5797e99b,PRIDE,PXD064288,public_metadata_resolved,1,1,afm;flow_cytometry;immunofluorescence;pcr;proteomics;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:dca278179ce04b6a,Zenodo,10.5281/zenodo.4977917,public_metadata_resolved,1,1,afm;flow_cytometry;immunofluorescence;pcr;traction_force_microscopy;western_blot,metadata_then_manual_file_selection,not_attempted
156,dataset:e0b9695b15f816c1,GEO,GSE131907,public_metadata_resolved,1,6,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
155,dataset:74e333787f347a72,GEO,GSE14520,public_metadata_unresolved,1,5,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
155,dataset:cfdc5556d6997b5f,GEO,GSE19615,public_metadata_unresolved,1,5,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
155,dataset:0af7b2d78db65769,GEO,GSE21653,public_metadata_unresolved,1,5,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
155,dataset:85bce92977da7f1f,GEO,GSE39582,public_metadata_unresolved,3,5,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
154,dataset:3c532b262663bdc9,GEO,GSE137829,public_metadata_unresolved,2,4,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
154,dataset:2f9df1b972cd6002,GEO,GSE16446,public_metadata_unresolved,1,4,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
154,dataset:617458e1b4335be6,GEO,GSE181294,public_metadata_unresolved,1,4,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
154,dataset:e747e2e72c1eb8ff,GEO,GSE9195,public_metadata_unresolved,1,4,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
153,dataset:c0906eca96a5471c,GEO,GSE103672,public_metadata_resolved,2,3,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
153,dataset:dea78b9d27a7968c,GEO,GSE12276,public_metadata_resolved,1,3,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
153,dataset:8de4f3733ad053b5,GEO,GSE141445,public_metadata_unresolved,1,3,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
153,dataset:b66541dcab524b8d,GEO,GSE17536,public_metadata_unresolved,2,3,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
