Frame,Time_min,model_choice,used_thresh,review_mode,filename,Area_um2,Area_px,Perimeter_px,Solidity,Circularity,A0_um2,A_over_A0,EffectiveRadius_um,Series
14,840,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(102)_t044.png,554667.343872,132243.0,1402.538226723671,0.980529254313445,0.8447985173347924,162214.7072,3.4193406593406594,420.1857911659577,MD-Experiment-0004_Position(102)
15,900,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(102)_t047.png,571639.5950079999,136289.5,1437.0651401281357,0.9756218905472637,0.8293146802992393,162214.7072,3.5239689722042655,426.5659789823195,MD-Experiment-0004_Position(102)
16,960,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(102)_t050.png,584050.540544,139248.5,1445.2072726488113,0.977432816124832,0.8377995309147774,162214.7072,3.6004783451842273,431.17173038841736,MD-Experiment-0004_Position(102)
17,1020,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(102)_t053.png,599588.339712,142953.0,1477.1067720651627,0.9731380063853395,0.8233402735752127,162214.7072,3.6962637362637363,436.86942691249834,MD-Experiment-0004_Position(102)
18,1080,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(102)_t056.png,616038.4,146875.0,1498.7636222839355,0.9716429117202462,0.8216586975482507,162214.7072,3.797672915319974,442.8217620994304,MD-Experiment-0004_Position(102)
19,1140,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(102)_t059.png,629695.053824,150131.0,1514.9057565927505,0.975383316008316,0.8220703973641246,162214.7072,3.8818616677440203,447.7032062798002,MD-Experiment-0004_Position(102)
20,1200,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(102)_t062.png,643653.6975359999,153459.0,1545.5331727266312,0.9711273465952418,0.8073197290972773,162214.7072,3.9679120879120875,452.63819459305483,MD-Experiment-0004_Position(102)
21,1260,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(102)_t065.png,658658.820096,157036.5,1540.2610940933228,0.9788230674295972,0.8318054855036388,162214.7072,4.060413703943116,457.88384341305124,MD-Experiment-0004_Position(102)
22,1320,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(102)_t068.png,671828.934656,160176.5,1565.0306478738785,0.9758975218192619,0.8217940079047813,162214.7072,4.141603102779573,462.4389599994022,MD-Experiment-0004_Position(102)
23,1380,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(102)_t071.png,688652.288,164187.5,1590.3443557024002,0.9721708237732218,0.8157697752831045,162214.7072,4.2453135100193915,468.1931560942418,MD-Experiment-0004_Position(102)
24,1440,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(102)_t074.png,703464.4725759999,167719.0,1599.6164331436157,0.9751076305010741,0.8236835908626539,162214.7072,4.336625727213962,473.2015386703713,MD-Experiment-0004_Position(102)
