rank,source_family_id,pmcid,decision,exception_reason,priority_score,missing_review_fields,observation_locator_count,cell_state_tags,modality_tags,mechanics_tags
259,doi:10.1186/s13014-021-01883-6,PMC8375131,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check;source_data,4,cancer_tumor;differentiating;epithelial;fibroblast;migrating;muscle,immunofluorescence;western_blot,strain_deformation
260,doi:10.1186/s13020-026-01359-3,PMC12977682,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check,7,cancer_tumor;differentiating;immune;neural,flow_cytometry;immunofluorescence;pcr;single_cell_sequencing,
261,doi:10.1186/s13023-025-03784-3,PMC12153161,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check,2,migrating;muscle,immunofluorescence;pcr,
262,doi:10.1186/s13062-021-00316-4,PMC8670252,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;cell_type_state;correction_retraction_check;exclusions;independent_replication_check,2,,western_blot,strain_deformation
263,doi:10.1186/s40001-025-03332-6,PMC12533429,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check,7,cancer_tumor;epithelial;migrating,immunofluorescence;pcr;western_blot,
264,doi:10.1186/s40104-026-01454-3,PMC13274008,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check,8,apoptotic;cancer_tumor;migrating,immunofluorescence;pcr,
265,doi:10.1242/bio.019703,PMC5051642,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check;source_data,9,cancer_tumor;differentiating;epithelial;migrating;mitotic;muscle,immunofluorescence;live_cell_imaging,cell_volume;migration_speed;strain_deformation
266,doi:10.1242/dmm.052634,PMC12690527,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check;source_data,8,apoptotic;cancer_tumor;epithelial;migrating;stem_progenitor,immunofluorescence;western_blot,migration_speed;strain_deformation
267,doi:10.1371/journal.pone.0025663,PMC3182247,manual_priority,NONE,19,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check;source_data,5,immune;migrating;stem_progenitor,flow_cytometry,
268,doi:10.1371/journal.pone.0035058,PMC3324407,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check;source_data,6,apoptotic;cancer_tumor;epithelial;immune;migrating;mitotic,flow_cytometry;immunofluorescence;live_cell_imaging;magnetic_tweezers;western_blot,adhesion_force;migration_speed;traction_force
269,doi:10.1371/journal.pone.0044041,PMC3430618,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check;source_data,6,cancer_tumor;migrating;mitotic,immunofluorescence,migration_speed
270,doi:10.1371/journal.pone.0073063,PMC3760889,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check;source_data,5,cancer_tumor;epithelial;immune;migrating;stem_progenitor,immunofluorescence;western_blot,migration_speed
271,doi:10.1371/journal.pone.0086110,PMC3935829,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check;source_data,6,cancer_tumor;epithelial;migrating,afm;live_cell_imaging;piv;traction_force_microscopy,membrane_tension;migration_speed;stiffness_modulus;traction_force
272,doi:10.1371/journal.pone.0170312,PMC5240960,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check;measurement_modality,3,differentiating;stem_progenitor,,stiffness_modulus;strain_deformation
273,doi:10.1371/journal.pone.0181085,PMC5513452,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check;source_data,11,apoptotic;differentiating;epithelial;fibroblast;muscle,afm;immunofluorescence;traction_force_microscopy;western_blot,strain_deformation;traction_force
274,doi:10.1371/journal.pone.0181703,PMC5531513,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;cell_type_state;correction_retraction_check;exclusions;independent_replication_check,4,,immunofluorescence,strain_deformation
275,doi:10.1371/journal.pone.0194170,PMC5864000,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check;measurement_modality,5,apoptotic;cancer_tumor;differentiating;epithelial;migrating;mitotic;stem_progenitor,,viscosity_viscoelasticity
276,doi:10.1371/journal.pone.0260800,PMC8654239,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check,3,apoptotic;cancer_tumor;fibroblast;immune;migrating,flow_cytometry,
277,doi:10.1371/journal.ppat.1003590,PMC3757042,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check;source_data,9,apoptotic;cancer_tumor;immune;migrating,afm;flow_cytometry;immunofluorescence;live_cell_imaging;pcr;western_blot,adhesion_force;strain_deformation
278,doi:10.15252/embj.201694756,PMC5239996,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check;source_data,8,muscle,afm;immunofluorescence;pcr;western_blot,cortical_tension;viscosity_viscoelasticity
279,doi:10.15252/embj.201694912,PMC5556271,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check,13,cancer_tumor;epithelial;fibroblast;muscle,afm;flow_cytometry;immunofluorescence;western_blot,
280,doi:10.15252/embj.2020106113,PMC8090850,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check,13,differentiating;immune,immunofluorescence;western_blot,
281,doi:10.2147/btt.s592879,PMC13225285,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check,2,apoptotic;cancer_tumor;differentiating;epithelial;migrating;mitotic;muscle,flow_cytometry;pcr;western_blot,
282,doi:10.3389/fcell.2021.728383,PMC8632149,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check,7,apoptotic;cancer_tumor;differentiating;epithelial;mitotic;muscle,immunofluorescence;western_blot,
283,doi:10.3389/fcell.2025.1667154,PMC12604528,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check,8,cancer_tumor;epithelial;migrating;muscle;stem_progenitor,immunofluorescence;pcr;western_blot,
284,doi:10.3389/fcell.2026.1810043,PMC13187488,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check,4,apoptotic;fibroblast;immune;migrating;muscle,immunofluorescence;pcr;single_cell_sequencing;western_blot,
285,doi:10.3389/fcell.2026.1831997,PMC13233457,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check,5,cancer_tumor;fibroblast;migrating,live_cell_imaging;pcr;western_blot,
286,doi:10.3390/biology10050356,PMC8145850,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check,5,differentiating;epithelial;fibroblast;migrating;muscle;stem_progenitor,pcr,
287,doi:10.3390/biology15050436,PMC12984785,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check,8,apoptotic;epithelial;muscle,immunofluorescence;pcr;western_blot,
288,doi:10.3390/cancers13061472,PMC8004890,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check,10,apoptotic;cancer_tumor;epithelial;fibroblast;migrating;muscle,flow_cytometry;live_cell_imaging,
289,doi:10.3390/cells10061549,PMC8234170,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check;source_data,9,cancer_tumor;epithelial;fibroblast;immune;migrating,afm;immunofluorescence;western_blot,migration_speed;strain_deformation;viscosity_viscoelasticity
290,doi:10.3390/ijms26157121,PMC12346119,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check;measurement_modality,1,differentiating,,membrane_tension;strain_deformation
291,doi:10.3390/jcm9082634,PMC7464296,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check,5,apoptotic;differentiating;epithelial,immunofluorescence;western_blot,
292,doi:10.3390/mi7100186,PMC6189709,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check;source_data,3,differentiating;fibroblast;migrating,afm,migration_speed
293,doi:10.3892/ijo.2012.1548,PMC3583651,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check,5,cancer_tumor;immune;migrating,immunofluorescence;pcr;western_blot,
294,doi:10.4081/ejh.2025.4239,PMC12505280,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check,6,apoptotic;differentiating;muscle;stem_progenitor,flow_cytometry;immunofluorescence;pcr;western_blot,
295,doi:10.7554/elife.66143,PMC8216718,manual_priority,NONE,19,affiliation_resolved_lab_group;calibration;correction_retraction_check;independent_replication_check,21,apoptotic;epithelial;muscle,immunofluorescence;pcr,
296,doi:10.1002/advs.74987,PMC13252651,manual_priority,NONE,18,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check,7,differentiating;immune;migrating;stem_progenitor,immunofluorescence;pcr,
297,doi:10.1002/cm.21369,PMC5601209,manual_priority,NONE,18,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check;source_data,6,apoptotic;cancer_tumor;differentiating;migrating;mitotic,afm;micropipette_aspiration,stiffness_modulus;strain_deformation;viscosity_viscoelasticity
298,doi:10.1002/jev2.12170,PMC8650025,manual_priority,NONE,18,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check;source_data,6,cancer_tumor;epithelial;immune,afm;western_blot,stiffness_modulus;strain_deformation
299,doi:10.1007/s00018-016-2365-0,PMC5272905,manual_priority,NONE,18,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check;source_data,7,fibroblast;migrating,immunofluorescence;western_blot,stiffness_modulus
300,doi:10.1007/s00018-021-03858-y,PMC8254729,manual_priority,NONE,18,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check,7,cancer_tumor;migrating;neural,flow_cytometry;live_cell_imaging;pcr,
301,doi:10.1007/s00018-024-05294-0,PMC11335285,manual_priority,NONE,18,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check;source_data,11,cancer_tumor;epithelial;migrating;mitotic,immunofluorescence;live_cell_imaging;pcr;traction_force_microscopy;western_blot,migration_speed;traction_force
302,doi:10.1007/s00253-025-13631-x,PMC12689813,manual_priority,NONE,18,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check;source_data,7,migrating;mitotic,afm,strain_deformation
303,doi:10.1016/j.actbio.2025.12.008,PMC13251587,manual_priority,NONE,18,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check;source_data,5,cancer_tumor,afm;immunofluorescence,strain_deformation;viscosity_viscoelasticity
304,doi:10.1016/j.bpj.2013.06.051,PMC3762340,manual_priority,NONE,18,affiliation_resolved_lab_group;correction_retraction_check;exclusions;independent_replication_check;source_data,4,immune;migrating,western_blot,
305,doi:10.1016/j.celrep.2021.109601,PMC8411111,manual_priority,NONE,18,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check,6,differentiating;fibroblast;stem_progenitor,afm;immunofluorescence;pcr;western_blot,
306,doi:10.1016/j.isci.2020.100907,PMC7044518,manual_priority,NONE,18,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check;source_data,6,fibroblast;immune;muscle,afm;flow_cytometry;immunofluorescence;magnetic_tweezers;pcr;traction_force_microscopy;western_blot,traction_force
307,doi:10.1016/j.isci.2025.113996,PMC12682049,manual_priority,NONE,18,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check,8,apoptotic;cancer_tumor;epithelial;immune;stem_progenitor,afm;flow_cytometry;immunofluorescence;pcr;western_blot,
308,doi:10.1016/j.mocell.2026.100329,PMC12954320,manual_priority,NONE,18,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check,6,apoptotic;epithelial;migrating,immunofluorescence;live_cell_imaging;pcr;western_blot,
309,doi:10.1016/j.mtbio.2026.103326,PMC13267705,manual_priority,NONE,18,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check,7,apoptotic;differentiating,immunofluorescence;pcr;western_blot,
310,doi:10.1016/j.stemcr.2016.03.011,PMC4939656,manual_priority,NONE,18,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check;source_data,8,apoptotic;cancer_tumor;differentiating;epithelial;stem_progenitor,pcr,cortical_tension;membrane_tension
311,doi:10.1016/j.xpro.2021.100954,PMC8669101,manual_priority,NONE,18,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check;source_data,9,differentiating;fibroblast;migrating;neural;stem_progenitor,immunofluorescence;live_cell_imaging,migration_speed;strain_deformation
312,doi:10.1021/acs.biochem.5c00495,PMC12713720,manual_priority,NONE,18,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check;measurement_modality;source_data,7,apoptotic;migrating;muscle,,
313,doi:10.1021/acsomega.5c11322,PMC13019181,manual_priority,NONE,18,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check;source_data,3,differentiating;epithelial;fibroblast;migrating,afm;pcr;western_blot,stiffness_modulus;strain_deformation;viscosity_viscoelasticity
314,doi:10.1038/ncb3559,PMC5493987,manual_priority,NONE,18,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check;source_data,11,mitotic,afm;flow_cytometry;live_cell_imaging;western_blot,strain_deformation
315,doi:10.1038/s41388-025-03538-2,PMC12500468,manual_priority,NONE,18,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check,3,apoptotic;cancer_tumor;migrating,flow_cytometry;western_blot,
316,doi:10.1038/s41419-024-06466-3,PMC10808102,manual_priority,NONE,18,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check;source_data,9,apoptotic;differentiating;fibroblast;stem_progenitor,flow_cytometry;immunofluorescence;pcr;western_blot,stiffness_modulus
317,doi:10.1038/s41467-018-03715-w,PMC5882663,manual_priority,NONE,18,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check,7,apoptotic;epithelial,immunofluorescence;pcr,
318,doi:10.1038/s41467-021-26612-1,PMC8568894,manual_priority,NONE,18,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check,7,apoptotic;cancer_tumor;differentiating;epithelial;migrating;stem_progenitor,pcr;single_cell_sequencing;western_blot,
319,doi:10.1038/s41467-021-27384-4,PMC8660829,manual_priority,NONE,18,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check,9,differentiating;epithelial;migrating;mitotic;stem_progenitor,immunofluorescence;pcr,
320,doi:10.1038/s41467-024-54143-y,PMC11550478,manual_priority,NONE,18,affiliation_resolved_lab_group;calibration;correction_retraction_check;exclusions;independent_replication_check,13,differentiating,immunofluorescence;piv,
321,doi:10.1038/s41586-020-1979-4,PMC7025890,manual_priority,NONE,18,affiliation_resolved_lab_group;calibration;cell_type_state;correction_retraction_check;independent_replication_check,18,,immunofluorescence;magnetic_tweezers;pcr,
